,1015.3.30.F01.S900,1015.2.18.F01.S808A,1015.2.11.F01.S700A,1015.3.27.F01.S730,1015.2.20.F01.S1830,1015.1.27.F01.S,1015.2.07.F01.S2212,1015.3.19.F01.S800,1015.2.12.F01.S2200,1015.3.22.F01.S715,1015.2.08.F01.S2130,1015.2.01.F01.S2145,1015.2.16.F01.S1700,1015.2.01.F01.S946,1015.3.02.F01.S800,1015.3.21.F01.S800,1015.3.17.F01.S915,1015.2.24.F01.S400,1015.1.30.F01.S,1015.3.16.F01.S730,1015.2.04.F01.S100A,1015.2.20.F01.S2030,1015.1.20.F01.S,1015.2.09.F01.S1020P,1015.4.01.F01.S1100,1015.2.16.F01.S2030,1015.3.11.F01.S800,1015.2.22.F01,1015.1.23.F01.S,1015.2.25.F01.S2000,1015.2.27.F01.S800,1015.3.09.F01.S945,1015.1.31.F01.S745A,1015.1.22.F01.S.b,1015.2.06.F01.S2115,1015.3.31.F01.S1200,1015.3.15.F01.S815,1015.1.21.F01.S,1015.3.18.F01.S1500,1015.1.22.F01.S,1015.2.19.F01.S1737,1015.2.07.F01.S115A,1015.2.29.F01.S1030,1015.2.06.F01.S609A,1015.3.06.F01.S800,1015.3.04.F01.S700,1015.3.08.F01.S745,1015.2.07.F01.S1400,1015.1.25.F01.S1015A,1015.3.23.F01.S715,1015.3.10.F01.S800,1015.3.04.F01.S2359,1015.1.29.F01.S,1015.2.14.F01.S900A,1015.4.03.F01.S800,1015.3.14.F01.S800,1015.2.03.F01.S800A,1015.2.10.F01.S2100,1015.3.20.F01.S700,1015.3.12.F01.S730,1015.1.18.F01.S,1015.3.13.F01.S800,1015.1.24.F01.S,1015.1.19.F01.S,1015.2.19.F01.S1500,1015.1.26.F01.S,1015.2.12.F01.2200,1015.2.17.F01.S700A
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,11383.497529500535,7836.474552613326,11101.537268647115,13384.854289091481,7757.224825624294,9835.787366598086,11225.115282871338,13195.474862810142,13322.737084544382,12590.144139027334,5653.544975232447,8228.085689817819,7767.788182287039,11626.78430037749,11681.43266853517,13745.567512939368,7823.963362921384,12885.425516026246,11124.837529780649,8442.879122636625,12404.129372346219,10889.749545643066,11567.350053524722,9126.879265046942,12954.230553111427,9383.539054722502,8616.39773021699,9098.745646461479,9534.744854565797,9097.441667879899,13152.3772927801,8931.340736038526,9670.025079443265,9551.168003397923,8156.07464609159,13695.169977203526,9337.17377323782,10213.946153266937,12127.457735754539,5669.260678684609,10445.94113203827,7412.311416479645,12441.197167548275,9395.703560428907,10217.040603599708,6920.227020716297,10161.05410071707,8861.761156264409,9966.839348731546,11985.3922074091,11310.946425799,12990.338758688458,11627.269401074045,11423.59837999146,8825.751767186848,11066.776203445474,11220.01473792134,11068.209575718678,12963.037728725456,11063.208991770507,10704.649178283555,11006.912438012065,10403.37345967636,7114.536898622954,9390.36603272372,214346.51892953995,0.1,9372.754696822316
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__,1885.1985636340644,1408.6856001424505,3196.619491519873,3753.0367249309566,618.4780364502651,1498.171021408358,3241.9640468385146,3682.987871090347,3704.3066570694036,3495.8926946432916,1457.283304085104,2418.7663690272016,1389.4282140090693,3293.262524949158,3140.784701753416,3845.148754907064,2229.995000175477,3604.7463830278266,3221.085312501522,2456.121973724476,3535.8418673701512,2942.869030166069,3359.8163264545224,2677.964318135415,3622.0331096564496,2128.450179552233,2478.5228078482514,2074.8549649194133,2776.1568775777714,2336.8241421340085,3688.063148108309,1182.2612887789742,2837.267562544046,2754.6307223708545,2391.585471747243,3856.7327199247343,2632.703834251835,2725.662927414309,3396.634899326998,1694.4687318994784,2820.240790259941,2219.0785833922396,3075.37000494898,2659.1810961024016,2582.8612266380687,2004.15066094757,2889.7416669167637,2610.937785053353,2872.638143646335,3400.4743885756016,2647.105298892709,3470.949942419921,3307.029403954585,3225.1651498916995,2530.3886932561527,3118.496825516149,3241.9108001294476,3219.480779684264,3619.2201516380314,3160.967077311999,3118.977986884803,3078.5489138896123,3001.3109618451344,4320.638568115151,1963.7318626490357,52971.57701295757,0.1,2365.596603796668
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__S24-7;g__,364.26628345861405,467.8068920142919,3013.166588775928,3435.1405555242204,0.1,58.92372146750462,3065.810966920802,3353.3692376414847,3357.9174079363343,3164.032527994096,1200.5635482737107,2330.2099583450986,450.1826365943998,3048.87540327346,2734.503031820158,3510.0432749479105,2078.8185664821663,3290.812847307463,3054.2416706969357,2340.5748208430246,3296.551819361473,2578.424624234831,3196.4867400593434,2574.93420593133,3304.545727796046,1424.5265493863767,2333.7288444983847,1402.8271325066278,2647.963417385349,1915.8991219121995,3375.8909684628925,0.1,2728.044868252744,2601.037994099264,2298.050023464598,3547.435307486603,2424.9280575629086,2350.7443489552993,3104.93209019261,1660.1605349028873,2468.072291521706,2177.7005852502966,2384.55004351317,2459.64889258437,2070.368021910423,1900.8133638496377,2687.307453511421,2521.201525193546,2710.5660956512465,3153.9444771416493,1876.5610390559584,2998.318491051392,3075.676399339049,2974.9562244691115,2374.0801730129847,2870.4292697159663,3067.1966614422913,3067.6428816586063,3296.467949576946,2954.588380223082,2977.150559436144,2809.735141488435,2834.8729402025333,6377.574979114983,1100.1676528638704,41056.90448657765,0.1,1891.788041198907
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium,2071.8099979833532,1438.8759591054713,2175.1398791679294,2611.006982194219,1335.9669072925917,1775.2406411141583,2200.464169997799,2572.134564044796,2595.3241248553213,2452.074433243898,1088.2787337111683,1617.781467613141,1425.4774025462782,2271.83519367673,2263.388262374856,2680.3437194175203,1530.3563327383479,2512.642735632488,2181.727060643936,1657.077278053836,2426.276278154335,2111.6938140982797,2269.7172765328096,1793.9284382975425,2525.8362553327215,1773.2283389097133,1687.9364835962501,1720.663296119005,1871.6501645634823,1750.2806692951306,2565.681386956896,1591.7137094020673,1900.6788659963654,1871.8783392672342,1602.938271374943,2673.4407359764277,1823.0828852979193,1976.7078243023782,2365.2877450514693,1117.8506639084076,2025.3257852068837,1461.9549139095047,2379.8902853911404,1835.646578730388,1960.9520095273547,1357.2009159160373,1986.762269365113,1743.0438869038294,1953.1298186414276,2342.5478614783624,2146.7311354088324,2514.5234229559114,2273.481952378805,2230.932546893329,1727.9971592942572,2160.573101736833,2199.6259856033134,2172.305866263203,2526.95278157449,2164.8271694749524,2101.5491850231806,2146.2578919239254,2038.9993803381096,1652.6769656871195,1755.5858439295548,41001.07091700008,0.1,1798.472512451009
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__,11163.056685329919,6776.818133740513,0.1,547.9388105563023,13060.694976199109,10715.410684683768,0.1,678.9304961738819,801.7378212177323,796.2994934785576,1278.8084864013085,0.1,6773.990913976346,204.3517726055283,1580.291214435632,636.6286801237394,23.937233536462067,595.0597622968374,0.1,0.1,34.65340374401865,1350.8512017947485,0.1,0.1,614.2970386540676,4499.0036493484085,0.1,4272.37378467904,0.1,2124.716347611496,536.68920971099,11188.470131566275,0.1,0.1,0.1,424.04848273777486,262.6036143896012,1550.0720120903186,527.859802100509,0.1,1317.8399273526875,0.1,3890.9112575540044,182.59562562920664,2726.3480571324303,0.1,83.26509124027223,0.1,0.1,164.50801291191848,4756.199368414368,1935.5021657860796,92.7825907400945,287.11038641742476,0.1,326.6766160824503,0.1,0.1,657.9022766964856,0.1,0.1,513.8454009326472,0.1,0.1,5863.4207093255545,67144.19983117265,637.1504275831801,2532.407877113182
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__,539.1349782464356,467.5762157870876,1706.6923242688315,1969.8524754065368,0.1,352.1747740969601,1734.1779862508047,1927.244849556086,1933.4835445269541,1823.0598827381707,720.788427050998,1308.0186708164274,457.46925952470644,1739.9663643763208,1602.102427604718,2015.0870404603252,1182.9317028457494,1889.1749324090013,1725.7141821483876,1319.7428278251423,1875.7727818867784,1506.5176556569613,1803.5799927814503,1446.5387050936004,1897.5568894856501,943.9209209125837,1322.4522308363569,924.8407748857516,1492.5036803146045,1152.7546983422658,1935.8228061176253,164.88891197489366,1532.567449341404,1472.1991077002858,1291.3433410078653,2030.0299021837216,1386.8611427999713,1382.9609683861327,1781.4664731822406,925.5075805639447,1442.778791080046,1213.2211442367357,1471.800279389963,1404.2274572016538,1258.4927338682187,1073.8910217458665,1530.7424266703706,1413.8783398548737,1534.6391991156615,1798.5340189127683,1208.640732191606,1762.6973334364714,1751.8900861984457,1700.389833321406,1347.3190492192564,1642.122227359138,1734.6245970448122,1729.791457035299,1894.2598472966517,1679.3957675023757,1677.5360879645286,1613.1718033176746,1604.3369353067733,3069.3498887028213,800.035004470012,25345.774427388777,0.1,1151.1670911111364
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Dialister,513.0690351311193,381.83867142311806,851.0696357063687,1000.0197126882147,177.59906750063115,409.5571107901956,863.0640220018337,981.4941478406508,987.2928083114377,931.7842914977489,389.3542861876128,643.5768752022309,376.7074070135746,877.2371831976471,837.9885549924601,1024.637793005482,593.8981617527025,960.574716438499,857.4412234908064,653.718603090521,941.671492290903,785.0547696962057,894.2864460271624,712.5827017103716,965.197367216424,571.2724462322891,659.903350848667,556.7757110242424,738.8797031170451,624.4215197721787,982.7053630102482,325.89345288732693,754.972393532342,733.358833740197,636.3918401863793,1027.5129256530745,701.3799400142908,727.4067986954857,905.0857945799168,450.639386218612,752.3648098247745,590.1299188838974,822.848416684529,708.3521859051052,690.53797055925,533.493905417766,769.6552044175223,694.6629422427394,764.7906660610608,905.7496683593796,709.6504056584512,926.2661298898314,880.7933500818891,859.1837145865408,673.7795537340743,830.8157065535919,863.0385100720549,856.8962969789426,964.4912810053432,841.7746571442508,830.1048878573099,820.361832111538,799.0247546276024,1132.1332138561468,528.7526544796438,14173.240535339479,0.1,632.4863647857042
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Akkermansia,320.5723677950022,259.82588114064305,791.9632619876747,919.1865172689232,0.1,230.85297020305478,804.2241308613033,900.1995646257903,903.8692286267542,852.5009209233804,343.0950656309869,604.4609411265642,255.10960233861758,810.1634687177641,754.6929847567411,940.7710054240064,550.0764479053139,881.9760014762091,799.892464760722,611.1394441548649,872.2345858518887,708.8196670205253,835.4530221197467,668.718936059886,885.9931646562892,467.00051171097476,613.7899779925532,456.7106058223404,691.0213123537409,549.209082954071,903.2961761637448,146.75043055769558,708.492213908211,682.9264766307051,597.0488496386992,946.3858863076323,646.37531379715,652.6282173374287,831.4830103044671,426.3309089957741,678.981647223596,558.6918558776457,708.5936643106367,653.9473894358479,602.134288176773,497.7399305516646,712.1399143366717,653.0926711105365,711.9858555854915,837.1410344102633,591.675959091815,831.5764580260586,815.0076360789715,792.2834428709741,625.7544662170098,765.4436263409872,804.3598248017039,801.0413270131506,884.7336095313013,780.5410537097615,776.5816524643017,753.1576450542049,744.177565301775,1309.4321500643948,408.65831530005613,12203.515542570742,0.1,551.025230574575
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__,755.0577473323417,518.6679454222785,722.6550336929203,872.3070313282897,521.2505108868829,653.7180755786858,730.6008815220328,860.1359157059347,868.5746582842047,820.860950498189,369.73894615038955,535.1078323620682,514.1915532002077,757.396796370016,762.6510540027748,895.9062380597901,509.53190495003275,839.841917370198,723.9926379249357,549.3369011016176,807.8089825808246,710.8133209743266,752.6838924229804,593.6108444320286,844.3462587111403,616.6070963995269,560.9101525728153,597.7818675605624,620.3550623455451,595.0504799871576,857.1540911782716,595.4027594024662,628.9376109850393,621.688986574843,530.4852945911008,892.3623584490599,608.3674095945929,667.0499850025127,790.3996748002322,368.4149092032469,681.8715031605684,481.6497830839633,814.9747761978399,612.0803229646413,668.7009754004184,450.3563180855983,661.7981276459774,576.2590255247002,648.7641040103271,780.7005164800318,742.438253161295,848.325720057817,757.290904298203,744.2671557497447,574.6229653675612,721.0793817696833,730.2545826885283,720.1581353511846,844.9735216175281,720.4083767277458,696.4499665427367,717.4116486483202,677.1502937122737,440.2008642116522,618.7329903930199,14041.14641509654,0.1,613.4814543343678
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides,757.9514279133992,520.5265910275299,723.8436258440352,873.8616213791331,524.0236139568528,656.375539759349,731.7909649760094,861.6888935927667,870.1596937509532,822.3645056363717,370.54945206528384,535.9291952491569,516.0422189343848,758.7072904828677,764.1697104669123,897.5135836283351,510.39708439491585,841.3484274099878,725.1623686943697,550.2107186608235,809.1801557121346,712.2110806000092,753.8873957249756,594.5279610434941,845.8631725471446,618.3014807948864,561.835697925851,599.4115923558559,621.3389992013817,596.3645416464472,858.681425534022,598.0301145022772,629.9093826404079,622.70625895451,531.3066999309556,893.9329228079515,609.4343040455853,668.4025857607669,791.8128363418651,368.94727588922217,683.2155358210738,482.34145808195314,816.916567372369,613.1419091325132,670.2267275968353,451.0833882754117,662.9294098333132,577.1365568015456,649.8279041313623,782.044650944669,744.382690792455,850.0407131931248,758.5850608346459,745.5674310906645,575.5810476896686,722.3461726506578,731.4424177108496,721.3041220676207,846.4978115898195,721.6224710823757,697.5519985194015,718.6993442502136,678.25725294256,438.2299758468498,620.628577719316,14074.61704055302,0.1,614.8857318817675
